"Step","Test run at 20230620-085113 with (16, 32, 64, 128), res: 2 - train_loss","Test run at 20230620-085113 with (16, 32, 64, 128), res: 2 - train_loss__MIN","Test run at 20230620-085113 with (16, 32, 64, 128), res: 2 - train_loss__MAX"
"0","0.8795254437546981","0.8795254437546981","0.8795254437546981"
"1","0.7297129819267675","0.7297129819267675","0.7297129819267675"
"2","0.6005583079237687","0.6005583079237687","0.6005583079237687"
"3","0.49364410921146995","0.49364410921146995","0.49364410921146995"
"4","0.3644066330633665","0.3644066330633665","0.3644066330633665"
"5","0.23456095064941204","0.23456095064941204","0.23456095064941204"
"6","0.18265429907723477","0.18265429907723477","0.18265429907723477"
"7","0.15049150609656384","0.15049150609656384","0.15049150609656384"
"8","0.13550069049785013","0.13550069049785013","0.13550069049785013"
"9","0.12428594859022843","0.12428594859022843","0.12428594859022843"
"10","0.11400659547040337","0.11400659547040337","0.11400659547040337"
"11","0.11072118243104533","0.11072118243104533","0.11072118243104533"
"12","0.1053831652591103","0.1053831652591103","0.1053831652591103"
"13","0.10102058821602872","0.10102058821602872","0.10102058821602872"
"14","0.09604494297190716","0.09604494297190716","0.09604494297190716"
"15","0.09501723945140839","0.09501723945140839","0.09501723945140839"
"16","0.0916798148500292","0.0916798148500292","0.0916798148500292"
"17","0.08963942465029265","0.08963942465029265","0.08963942465029265"
"18","0.08945418062962984","0.08945418062962984","0.08945418062962984"
"19","0.08384339236899425","0.08384339236899425","0.08384339236899425"
