"Step","Test run at 20230620-093638 with (16, 32, 64, 128), res: 2 - train_loss","Test run at 20230620-093638 with (16, 32, 64, 128), res: 2 - train_loss__MIN","Test run at 20230620-093638 with (16, 32, 64, 128), res: 2 - train_loss__MAX"
"0","0.8775471697251002","0.8775471697251002","0.8775471697251002"
"1","0.7294219341129065","0.7294219341129065","0.7294219341129065"
"2","0.5986573485036691","0.5986573485036691","0.5986573485036691"
"3","0.4935941944519679","0.4935941944519679","0.4935941944519679"
"4","0.39978569963326055","0.39978569963326055","0.39978569963326055"
"5","0.2540958619986971","0.2540958619986971","0.2540958619986971"
"6","0.18504402429486314","0.18504402429486314","0.18504402429486314"
"7","0.1553563451549659","0.1553563451549659","0.1553563451549659"
"8","0.13901405416739485","0.13901405416739485","0.13901405416739485"
"9","0.12995927625646195","0.12995927625646195","0.12995927625646195"
"10","0.11899001438481112","0.11899001438481112","0.11899001438481112"
"11","0.11060657848914464","0.11060657848914464","0.11060657848914464"
"12","0.10632625610257189","0.10632625610257189","0.10632625610257189"
"13","0.10333621331180136","0.10333621331180136","0.10333621331180136"
"14","0.09672707101951043","0.09672707101951043","0.09672707101951043"
"15","0.09527789079584181","0.09527789079584181","0.09527789079584181"
"16","0.09350004807735483","0.09350004807735483","0.09350004807735483"
"17","0.09171931018742423","0.09171931018742423","0.09171931018742423"
"18","0.09066731366328895","0.09066731366328895","0.09066731366328895"
"19","0.09024660149589181","0.09024660149589181","0.09024660149589181"
