"Step","Test run at 20230621-111523 with (16, 32, 64, 128), res: 2 for final model - train_loss","Test run at 20230621-111523 with (16, 32, 64, 128), res: 2 for final model - train_loss__MIN","Test run at 20230621-111523 with (16, 32, 64, 128), res: 2 for final model - train_loss__MAX"
"0","1.7313075276712577","1.7313075276712577","1.7313075276712577"
"1","0.9380546677857637","0.9380546677857637","0.9380546677857637"
"2","0.8080739093323549","0.8080739093323549","0.8080739093323549"
"3","0.7347250121335188","0.7347250121335188","0.7347250121335188"
"4","0.657565804819266","0.657565804819266","0.657565804819266"
"5","0.590863294278582","0.590863294278582","0.590863294278582"
"6","0.5275371208166083","0.5275371208166083","0.5275371208166083"
"7","0.44356055092066526","0.44356055092066526","0.44356055092066526"
"8","0.3462320438896616","0.3462320438896616","0.3462320438896616"
"9","0.2566565099793176","0.2566565099793176","0.2566565099793176"
"10","0.21782732320328554","0.21782732320328554","0.21782732320328554"
"11","0.18668154192467531","0.18668154192467531","0.18668154192467531"
"12","0.16934761575733623","0.16934761575733623","0.16934761575733623"
"13","0.15461000241339207","0.15461000241339207","0.15461000241339207"
"14","0.1456899872670571","0.1456899872670571","0.1456899872670571"
"15","0.14206085462744036","0.14206085462744036","0.14206085462744036"
"16","0.13267130490082005","0.13267130490082005","0.13267130490082005"
"17","0.1287573022612681","0.1287573022612681","0.1287573022612681"
"18","0.12388859479688108","0.12388859479688108","0.12388859479688108"
"19","0.11911682086065412","0.11911682086065412","0.11911682086065412"
