"Step","Test run at 20230621-104448 with (16, 32, 64, 128), res: 2 for final model - train_loss","Test run at 20230621-104448 with (16, 32, 64, 128), res: 2 for final model - train_loss__MIN","Test run at 20230621-104448 with (16, 32, 64, 128), res: 2 for final model - train_loss__MAX"
"0","1.7403289168439013","1.7403289168439013","1.7403289168439013"
"1","0.9415916451748382","0.9415916451748382","0.9415916451748382"
"2","0.8142581410864567","0.8142581410864567","0.8142581410864567"
"3","0.7511229350211772","0.7511229350211772","0.7511229350211772"
"4","0.6718602396072225","0.6718602396072225","0.6718602396072225"
"5","0.5979120579171688","0.5979120579171688","0.5979120579171688"
"6","0.5266849046691935","0.5266849046691935","0.5266849046691935"
"7","0.4438309438051061","0.4438309438051061","0.4438309438051061"
"8","0.35061888269921565","0.35061888269921565","0.35061888269921565"
"9","0.26583542975973573","0.26583542975973573","0.26583542975973573"
"10","0.22785531887982755","0.22785531887982755","0.22785531887982755"
"11","0.19270006915990343","0.19270006915990343","0.19270006915990343"
"12","0.17336222672082008","0.17336222672082008","0.17336222672082008"
"13","0.16074012885702418","0.16074012885702418","0.16074012885702418"
"14","0.1527383676234712","0.1527383676234712","0.1527383676234712"
"15","0.14742605625949007","0.14742605625949007","0.14742605625949007"
"16","0.13733798431906294","0.13733798431906294","0.13733798431906294"
"17","0.1310839942319596","0.1310839942319596","0.1310839942319596"
"18","0.1256687638765954","0.1256687638765954","0.1256687638765954"
"19","0.12067507619553423","0.12067507619553423","0.12067507619553423"
