"Step","Test run at 20230621-121746 with (16, 32, 64, 128), res: 2 for final model - train_loss","Test run at 20230621-121746 with (16, 32, 64, 128), res: 2 for final model - train_loss__MIN","Test run at 20230621-121746 with (16, 32, 64, 128), res: 2 for final model - train_loss__MAX"
"0","0.9425249174237251","0.9425249174237251","0.9425249174237251"
"1","0.763114937270681","0.763114937270681","0.763114937270681"
"2","0.6889136383930842","0.6889136383930842","0.6889136383930842"
"3","0.5936668838063875","0.5936668838063875","0.5936668838063875"
"4","0.4954146621748805","0.4954146621748805","0.4954146621748805"
"5","0.3591579735899965","0.3591579735899965","0.3591579735899965"
"6","0.24016132842128476","0.24016132842128476","0.24016132842128476"
"7","0.1859979893391331","0.1859979893391331","0.1859979893391331"
"8","0.15870491725703081","0.15870491725703081","0.15870491725703081"
"9","0.14306686135629812","0.14306686135629812","0.14306686135629812"
"10","0.1330494372329364","0.1330494372329364","0.1330494372329364"
"11","0.12702470971271396","0.12702470971271396","0.12702470971271396"
"12","0.11715683752360444","0.11715683752360444","0.11715683752360444"
"13","0.11270082485862076","0.11270082485862076","0.11270082485862076"
"14","0.1067514237947762","0.1067514237947762","0.1067514237947762"
"15","0.10374321470347543","0.10374321470347543","0.10374321470347543"
"16","0.09990419338767727","0.09990419338767727","0.09990419338767727"
"17","0.09723554085940123","0.09723554085940123","0.09723554085940123"
"18","0.09603418914290766","0.09603418914290766","0.09603418914290766"
"19","0.09817407893327375","0.09817407893327375","0.09817407893327375"
