"Step","Test run at 20230619-144932 with (32, 64, 128, 256), res: 5 - train_loss","Test run at 20230619-144932 with (32, 64, 128, 256), res: 5 - train_loss__MIN","Test run at 20230619-144932 with (32, 64, 128, 256), res: 5 - train_loss__MAX"
"0","0.9267468636797875","0.9267468636797875","0.9267468636797875"
"1","0.7659313340776974","0.7659313340776974","0.7659313340776974"
"2","0.6775170712126899","0.6775170712126899","0.6775170712126899"
"3","0.565389072157673","0.565389072157673","0.565389072157673"
"4","0.44745835416095775","0.44745835416095775","0.44745835416095775"
"5","0.3396790430103381","0.3396790430103381","0.3396790430103381"
"6","0.2735953493831084","0.2735953493831084","0.2735953493831084"
"7","0.24653643292864574","0.24653643292864574","0.24653643292864574"
"8","0.22979655262735701","0.22979655262735701","0.22979655262735701"
"9","0.21230841236016185","0.21230841236016185","0.21230841236016185"
"10","0.2137514388131112","0.2137514388131112","0.2137514388131112"
"11","0.20407350514967418","0.20407350514967418","0.20407350514967418"
"12","0.17578526617018217","0.17578526617018217","0.17578526617018217"
"13","0.12794064707362773","0.12794064707362773","0.12794064707362773"
"14","0.11755056686929821","0.11755056686929821","0.11755056686929821"
"15","0.11356438151032654","0.11356438151032654","0.11356438151032654"
"16","0.10693292373541705","0.10693292373541705","0.10693292373541705"
"17","0.10795022562607047","0.10795022562607047","0.10795022562607047"
"18","0.10207321279749428","0.10207321279749428","0.10207321279749428"
"19","0.09922797524744702","0.09922797524744702","0.09922797524744702"
