"Step","Test run at 20230619-174613 with (16, 32, 64, 128), res: 5 - train_loss","Test run at 20230619-174613 with (16, 32, 64, 128), res: 5 - train_loss__MIN","Test run at 20230619-174613 with (16, 32, 64, 128), res: 5 - train_loss__MAX"
"0","0.9028772201734719","0.9028772201734719","0.9028772201734719"
"1","0.7532878407497996","0.7532878407497996","0.7532878407497996"
"2","0.6714477354718238","0.6714477354718238","0.6714477354718238"
"3","0.5407431715542508","0.5407431715542508","0.5407431715542508"
"4","0.4063321053981781","0.4063321053981781","0.4063321053981781"
"5","0.2755599578016812","0.2755599578016812","0.2755599578016812"
"6","0.20703018940601153","0.20703018940601153","0.20703018940601153"
"7","0.18046822375857952","0.18046822375857952","0.18046822375857952"
"8","0.15750783136517732","0.15750783136517732","0.15750783136517732"
"9","0.14430374851853578","0.14430374851853578","0.14430374851853578"
"10","0.13746775771231995","0.13746775771231995","0.13746775771231995"
"11","0.1227311370606275","0.1227311370606275","0.1227311370606275"
"12","0.11813493241968843","0.11813493241968843","0.11813493241968843"
"13","0.11875994288429771","0.11875994288429771","0.11875994288429771"
"14","0.11396232377929785","0.11396232377929785","0.11396232377929785"
"15","0.10626935029459983","0.10626935029459983","0.10626935029459983"
"16","0.10300236871254813","0.10300236871254813","0.10300236871254813"
"17","0.10153316998297406","0.10153316998297406","0.10153316998297406"
"18","0.09804602366747316","0.09804602366747316","0.09804602366747316"
"19","0.09468572847929198","0.09468572847929198","0.09468572847929198"
